mass,Int
740.8534546,10784.1
740.9032593,10711.5
740.953125,10575.8
741.0029297,10207.3
741.0527344,10131
741.1025391,10041.8
741.1524048,10372.7
741.2022095,11547.9
741.2520142,14256.6
741.3018188,22433.7
741.3516235,39692.1
741.4014893,58996.4
741.4512939,63747.6
741.5010986,53279.8
741.5509033,37294.7
741.600769,22040
741.6505737,15173.9
741.7003784,12566
741.7501831,11088.3
741.8000488,10844.5
741.8498535,11027.6
741.8996582,11425.4
741.9494629,11420.5
741.9993286,11398.1
742.0491333,11262.5
742.098938,10417.8
742.1487427,10206.8
742.1986084,10871.9
742.2484131,12473.1
742.2982178,17116
742.3480225,27952.6
742.3978271,47389.3
742.4476929,67436.8
742.4974976,68607.6
742.5473022,52446.3
742.5971069,30448.9
742.6469727,17142.9
742.6967773,13017.5
742.746582,12120.3
742.7963867,11597.7
742.8462524,11428.3
742.8960571,11372.2
742.9458618,11209
742.9956665,10962.5
743.0455322,10507.5
743.0953369,9897.1
743.1451416,9815.83
743.1949463,10690.8
743.244812,12643.3
743.2946167,15544.6
743.3444214,21568
743.3942261,36094.9
743.4440308,55708.1
743.4938965,65689
743.5437012,54454
743.5935059,32705.9
743.6433105,17869.3
743.6931763,12755.6
743.742981,11414.4
743.7927856,11174.9
743.8425903,11418.2
743.8924561,11517.1
743.9422607,10944.5
743.9920654,10429.2
744.0418701,10076.6
744.0917358,9690.05
744.1415405,9741.62
744.1913452,10398.8
744.2411499,12057.3
744.2910156,16131.2
744.3408203,22467.3
744.390625,36506.3
744.4404297,67785.2
744.4902344,97556.7
744.5401001,81995.5
744.5899048,40874.8
744.6397095,20310.3
744.6895142,13819.3
744.7393799,11932
744.7891846,11705.9
744.8389893,11839.3
744.8887939,11903
744.9386597,11317.1
744.9884644,10679.6
745.038269,10259.3
745.0880737,9968.6
745.1379395,10365.7
745.1877441,11537.1
745.2375488,13384.8
745.2873535,16984.7
745.3372192,27895
745.3870239,46243.6
745.4368286,76541.7
745.4866333,108173
745.536438,87932.3
745.5863037,42050.5
745.6361084,20824.1
745.6859131,14337.6
745.7357178,12305.2
745.7855835,11931.6
745.8353882,11997
745.8851929,11761.7
745.9349976,11337.9
